name	ra_hours	dec_deg	mag
Sirius	6.752481	-16.71612	-1.44
Canopus	6.399195	-52.69566	-0.62
Arcturus	14.261030	19.18241	-0.05
Rigil Kentaurus	14.660765	-60.83398	-0.01
Vega	18.615640	38.78369	0.03
Capella	5.278150	45.99799	0.08
Rigel	5.242298	-8.20164	0.18
Procyon	7.655033	5.22499	0.40
Achernar	1.628556	-57.23676	0.45
Betelgeuse	5.919529	7.40706	0.45
Hadar	14.063729	-60.37304	0.61
Altair	19.846388	8.86832	0.76
Acrux	12.443311	-63.09909	0.77
Aldebaran	4.598677	16.50930	0.87
HYG 118360	5.277926	46.00084	0.96
Spica	13.419883	-11.16132	0.98
Antares	16.490128	-26.43200	1.06
Pollux	7.755277	28.02620	1.16
Fomalhaut	22.960838	-29.62224	1.17
Mimosa	12.795359	-59.68876	1.25
Deneb	20.690532	45.28034	1.25
Toliman	14.660346	-60.83830	1.35
Regulus	10.139532	11.96721	1.36
Adhara	6.977097	-28.97208	1.50
Castor	7.576634	31.88828	1.58
Gacrux	12.519429	-57.11321	1.59
Shaula	17.560145	-37.10382	1.62
Bellatrix	5.418851	6.34970	1.64
Elnath	5.438198	28.60745	1.65
Miaplacidus	9.220041	-69.71721	1.67
Alnilam	5.603559	-1.20192	1.69
Alnair	22.137209	-46.96097	1.73
Alnitak	5.679313	-1.94257	1.74
Gam2Vel	8.158876	-47.33659	1.75
Alioth	12.900472	55.95982	1.76
Mirfak	3.405378	49.86118	1.79
Kaus Australis	18.402868	-34.38462	1.79
Dubhe	11.062155	61.75103	1.81
Wezen	7.139857	-26.39320	1.83
Alkaid	13.792354	49.31327	1.85
Avior	8.375236	-59.50948	1.86
Sargas	17.621980	-42.99782	1.86
Menkalinan	5.992149	44.94743	1.90
Atria	16.811077	-69.02772	1.91
Alhena	6.628528	16.39925	1.93
Alsephina	8.745059	-54.70882	1.93
Peacock	20.427459	-56.73509	1.94
Polaris	2.529750	89.26411	1.97
Mirzam	6.378329	-17.95592	1.98
Alphard	9.459790	-8.65860	1.99
Hamal	2.119555	23.46242	2.01
Algieba	10.332873	19.84149	2.01
Diphda	0.726490	-17.98661	2.04
Nunki	18.921090	-26.29672	2.05
Menkent	14.111395	-36.36995	2.06
Alpheratz	0.139791	29.09043	2.07
Mirach	1.162194	35.62056	2.07
Saiph	5.795941	-9.66961	2.07
Kochab	14.845105	74.15551	2.07
Tiaki	22.711115	-46.88458	2.07
Rasalhague	17.582241	12.56003	2.08
Algol	3.136148	40.95565	2.09
Almach	2.064984	42.32973	2.10
Denebola	11.817663	14.57206	2.14
Cih	0.945143	60.71674	2.15
Gam Cen	12.691971	-48.95989	2.20
Naos	8.059737	-40.00315	2.21
Aspidiske	9.284838	-59.27523	2.21
Alphecca	15.578128	26.71469	2.22
Suhail	9.133268	-43.43259	2.23
Mizar	13.398747	54.92536	2.23
Sadr	20.370473	40.25668	2.23
Schedar	0.675116	56.53733	2.24
Eltanin	17.943437	51.48889	2.24
Mintaka	5.533445	-0.29909	2.25
Caph	0.152887	59.14978	2.28
Eps Cen	13.664796	-53.46639	2.29
Dschubba	16.005557	-22.62171	2.29
Larawag	16.836080	-34.29323	2.29
Uridim	14.698823	-47.38820	2.30
Eta Cen	14.591786	-42.15782	2.33
Merak	11.030677	56.38243	2.34
Izar	14.749784	27.07422	2.35
Enif	21.736433	9.87501	2.38
Kap Sco	17.708132	-39.02998	2.39
Ankaa	0.438056	-42.30598	2.40
Phecda	11.897168	53.69476	2.41
Sabik	17.172968	-15.72491	2.43
Scheat	23.062901	28.08279	2.44
Aludra	7.401584	-29.30310	2.45
Alderamin	21.309630	62.58557	2.45
Markeb	9.368562	-55.01067	2.47
Aljanah	20.770178	33.97026	2.48
Markab	23.079348	15.20526	2.49
Menkar	3.037992	4.08973	2.54
13Zet Oph	16.619316	-10.56709	2.54
Leepwal	13.925667	-47.28838	2.55
Zosma	11.235138	20.52372	2.56
Acrab	16.090620	-19.80545	2.56
Arneb	5.545504	-17.82229	2.58
Del Cen	12.139310	-50.72243	2.58
Gienah	12.263437	-17.54193	2.58
Ascella	19.043532	-29.88011	2.60
Zubeneschamali	15.283449	-9.38292	2.61
Unukalhai	15.737798	6.42563	2.63
Sheratan	1.910668	20.80804	2.64
Phact	5.660817	-34.07411	2.65
Mahasim	5.995351	37.21258	2.65
Kraz	12.573121	-23.39676	2.65
Ruchbah	1.430216	60.23528	2.66
Muphrid	13.911411	18.39772	2.68
Bet Lup	14.975537	-43.13396	2.68
Hassaleh	4.949894	33.16609	2.69
Mu Vel	10.779488	-49.42025	2.69
Alp Mus	12.619739	-69.13556	2.69
Lesath	17.512732	-37.29581	2.70
Pi Pup	7.285711	-37.09747	2.71
Kaus Media	18.349900	-29.82810	2.72
Tarazed	19.770994	10.61326	2.72
Yed Prior	16.239094	-3.69432	2.73
Athebyne	16.399860	61.51421	2.73
The Car	10.715949	-64.39445	2.74
Porrima	12.694345	-1.44938	2.74
Hatysa	5.590551	-5.90990	2.75
Kulou	13.343296	-36.71229	2.75
Zubenelgenubi	14.847977	-16.04178	2.75
Cebalrai	17.724543	4.56730	2.76
Cursa	5.130829	-5.08645	2.78
Kornephoros	16.503668	21.48961	2.78
Rasalgethi	17.244127	14.39033	2.78
Imai	12.252427	-58.74893	2.79
Rastaban	17.507213	52.30139	2.79
Gam Lup	15.585681	-41.16676	2.80
Nihal	5.470756	-20.75944	2.81
40Zet Her	16.688113	31.60273	2.81
Bet Hyi	0.427916	-77.25425	2.82
Paikauhale	16.598043	-28.21602	2.82
Kaus Borealis	18.466179	-25.42170	2.82
Algenib	0.220598	15.18360	2.83
Tureis	8.125737	-24.30432	2.83
Bet TrA	15.919083	-63.43073	2.83
44Zet Per	3.902200	31.88364	2.84
Bet Ara	17.421665	-55.52988	2.84
Alp Ara	17.530695	-49.87615	2.84
Alcyone	3.791410	24.10514	2.85
Vindemiatrix	13.036278	10.95915	2.85
Deneb Algedi	21.784011	-16.12729	2.85
Castor B	7.576827	31.89052	2.85
Alp Hyi	1.979451	-61.56986	2.86
Fawaris	19.749574	45.13081	2.86
Tejat	6.382673	22.51359	2.87
Gam TrA	15.315181	-68.67955	2.87
Lang-Exster	22.308371	-60.25959	2.87
Acamar	2.971023	-40.30467	2.88
Albaldah	19.162731	-21.02361	2.88
Gomeisa	7.452512	8.28932	2.89
Cor Caroli	12.933807	38.31838	2.89
Fang	15.980865	-26.11410	2.89
45Eps Per	3.964230	40.01022	2.90
Alniyat	16.353143	-25.59280	2.90
Sadalsuud	21.525982	-5.57117	2.90
23Gam Per	3.079942	53.50644	2.91
Ups Car	9.785036	-65.07201	2.92
Matar	22.716704	30.22124	2.93
Tau Pup	6.832266	-50.61456	2.94
Algorab	12.497739	-16.51543	2.94
Sadalmelik	22.096399	-0.31985	2.95
Zaurak	3.967157	-13.50851	2.97
Tianguan	5.627413	21.14255	2.97
Ras Elased Australis	9.764188	23.77426	2.97
Alnasl	18.096803	-30.42409	2.98
46Gam Hya	13.315359	-23.17151	2.99
Iot1Sco	17.793078	-40.12700	2.99
Okab	19.090169	13.86348	2.99
4Bet Tri	2.159058	34.98730	3.00
52Psi UMa	11.161062	44.49849	3.00
Pherkad	15.345483	71.83402	3.00
Xamidimura	16.864509	-38.04738	3.00
Aldhanab	21.898808	-37.36485	3.00
39Del Per	3.715416	47.78755	3.01
Furud	6.338553	-30.06337	3.02
24Omi2CMa	7.050409	-23.83329	3.02
2Eps Crv	12.168746	-22.61977	3.02
Almaaz	5.032815	43.82331	3.03
Bet Mus	12.771346	-68.10812	3.04
Seginus	14.534636	38.30825	3.04
Albireo	19.512023	27.95968	3.05
Dabih	20.350187	-14.78137	3.05
Mebsuta	6.732202	25.13112	3.06
Tania Australis	10.372155	41.49952	3.06
Altais	19.209225	67.66154	3.07
Eta Sgr	18.293793	-36.76169	3.10
16Zet Hya	8.923230	5.94556	3.11
Nu Hya	10.827079	-16.19365	3.11
Lam Cen	11.596363	-63.01984	3.11
Alp Ind	20.626116	-47.29150	3.11
Wazn	5.849329	-35.76831	3.12
Talitha	8.986828	48.04183	3.12
Zet Ara	16.977006	-55.99014	3.12
Sarin	17.250531	24.83920	3.12
Kap Cen	14.986025	-42.10419	3.13
40Alp Lyn	9.350925	34.39256	3.14
HR 3803	9.520371	-57.03438	3.16
67Pi Her	17.250788	36.80916	3.16
Pipit	6.629353	-43.19593	3.17
25The UMa	9.547715	51.67730	3.17
Aldhibah	17.146448	65.71468	3.17
27Phi Sgr	18.760940	-26.99078	3.17
Haedus	5.108580	41.23447	3.18
Xami	14.708492	-64.97514	3.18
Tabit	4.830669	6.96128	3.19
2Eps Lep	5.091018	-22.37103	3.19
27Kap Oph	16.961139	9.37503	3.19
Fuyue	17.830965	-37.04330	3.19
64Zet Cyg	21.215607	30.22692	3.21
Errai	23.655820	77.63228	3.21
Del Lup	15.356201	-40.64752	3.22
Yed Posterior	16.305358	-4.69251	3.23
58Eta Ser	18.355167	-2.89882	3.23
Alfirk	21.477662	70.56072	3.23
Alp Pic	6.803194	-61.94139	3.24
Antinous	20.188413	-0.82146	3.24
Sig Pup	7.487179	-43.30143	3.25
49Pi Hya	14.106193	-26.68236	3.25
Brachium	15.067839	-25.28196	3.25
Sulafat	18.982395	32.68956	3.25
Gam Hyi	3.787295	-74.23896	3.26
31Del And	0.655462	30.86102	3.27
42The Oph	17.366827	-24.99955	3.27
Skat	22.910837	-15.82082	3.27
5Mu Lep	5.215528	-16.20547	3.29
Ome Car	10.228961	-70.03790	3.29
Edasich	15.415494	58.96607	3.29
Alp Dor	4.566598	-55.04498	3.30
HR 4140	10.533743	-61.68533	3.30
Propus	6.247961	22.50680	3.31
Gam Ara	17.423239	-56.37773	3.31
Bet Phe	1.101407	-46.71841	3.32
25Rho Per	3.086270	38.84027	3.32
Megrez	12.257086	57.03262	3.32
Eta Sco	17.202552	-43.23919	3.32
64Nu Oph	17.983775	-9.77363	3.32
40Tau Sgr	19.115670	-27.67042	3.32
Rhombus	4.240404	-62.47386	3.33
Chertan	11.237335	15.42957	3.33
Azmidi	7.821571	-24.85979	3.34
Segin	1.906584	63.67010	3.35
28Eta Ori	5.407949	-2.39715	3.35
Alzirr	6.754824	12.89559	3.35
Muscida	8.504431	60.71817	3.35
30Del Aql	19.424972	3.11477	3.36
Eps Lup	15.378021	-44.68962	3.37
Ashlesha	8.779587	6.41881	3.38
Heze	13.578220	-0.59582	3.38
Meissa	5.585633	9.93416	3.39
HR 4050	10.284720	-61.33230	3.39
Minelauva	12.926725	3.39747	3.39
21Zet Cep	22.180908	58.20126	3.39
Chamukuy	4.477705	15.87088	3.40
HYG 119131	17.172783	-15.72692	3.40
Gam Phe	1.472759	-43.31823	3.41
35Lam Tau	4.011338	12.49035	3.41
Heng	13.825078	-41.68771	3.41
Zet Lup	15.204760	-52.09925	3.41
3Eta Cep	20.754811	61.83878	3.41
Homam	22.691033	10.83136	3.41
Mothallah	1.884696	29.57883	3.42
Eta Lup	16.002036	-38.39671	3.42
86Mu Her	17.774319	27.72068	3.42
Bet Pav	20.749314	-66.20321	3.42
HR 3659	9.182804	-58.96690	3.43
Adhafera	10.278171	23.41731	3.43
16Lam Aql	19.104150	-4.88255	3.43
Tania Borealis	10.284952	42.91436	3.45
Achird	0.818260	57.81519	3.46
31Eta Cet	1.143164	-10.18226	3.46
Chi Car	7.946313	-52.98236	3.46
49Del Boo	15.258376	33.31483	3.46
Kaffaljidhma	2.721678	3.23582	3.47
Mu Cen	13.826943	-42.47373	3.47
30Eta Leo	10.122209	16.76266	3.48
44Eta Her	16.714933	38.92225	3.48
52Tau Cet	1.734479	-15.93748	3.49
Nganurganity	7.028652	-27.93483	3.49
Alula Borealis	11.307983	33.09431	3.49
Nekkar	15.032436	40.39057	3.49
Alp Tel	18.449561	-45.96846	3.49
Eps Gru	22.809239	-51.31686	3.49
13Kap CMa	6.830683	-32.50848	3.50
Wasat	7.335383	21.98232	3.50
32Iot Cep	22.828020	66.20041	3.50
12Gam Sge	19.979285	19.49215	3.51
Sadalbari	22.833385	24.60158	3.51
Rana	3.720806	-9.76339	3.52
Subra	9.685843	9.89231	3.52
Phi Vel	9.947708	-54.56779	3.52
Sheliak	18.834665	33.36267	3.52
37Xi 2Sgr	18.962167	-21.10665	3.52
Biham	22.169996	6.19787	3.52
29Gam Vir	12.694171	-1.44924	3.52
Ain	4.476943	19.18043	3.53
Tarf	8.275256	9.18554	3.53
Xi Hya	11.550038	-31.85762	3.54
32Mu Ser	15.827002	-3.43021	3.54
55Xi Ser	17.626445	-15.39856	3.54
41Ups4Eri	4.298237	-33.79835	3.55
14Zet Lep	5.782595	-14.82195	3.55
Iot Lup	14.323396	-46.05809	3.55
44Chi Dra	18.350736	72.73284	3.55
Del Pav	20.145157	-66.18207	3.55
8Iot Cet	0.323799	-8.82392	3.56
Phi Eri	2.275154	-51.51217	3.56
12Del Crt	11.322347	-14.77854	3.56
Pipirima	16.872263	-38.01754	3.56
77Kap Gem	7.740793	24.39799	3.57
Alkaphrah	9.060427	47.15653	3.57
25Rho Boo	14.530500	30.37144	3.57
Phi1Lup	15.363440	-36.26138	3.57
54Lam Gem	7.301550	16.54038	3.58
Algedi	20.300904	-12.54485	3.58
Nembus	1.633205	48.62821	3.59
20Tau Ori	5.293442	-6.84441	3.59
13Gam Lep	5.741057	-22.44838	3.59
Zavijava	11.844922	1.76472	3.59
Ginan	12.356031	-60.40115	3.59
45The Cet	1.400390	-8.18326	3.60
34The Gem	6.879816	33.96125	3.60
HR 3447	8.671554	-52.92189	3.60
Psi Vel	9.511674	-40.46677	3.60
39Ups Lib	15.617070	-28.13508	3.60
Del Ara	17.518318	-60.68385	3.60
Bharani	2.833063	27.26051	3.61
1Omi Tau	3.413554	9.02887	3.61
41Lam Hya	10.176467	-12.35408	3.61
Del Mus	13.037759	-71.54886	3.61
Eta Pav	17.762221	-64.72387	3.61
Alpherg	1.524725	15.34582	3.62
Atlas	3.819373	24.05342	3.62
HR 3017	7.754249	-37.96858	3.62
Zet2Sco	16.909731	-42.36131	3.62
Alfarasalkamil	23.032017	42.32598	3.62
Lam Mus	11.760141	-66.72876	3.63
Rotanev	20.625816	14.59509	3.64
Prima Hyadum	4.329889	15.62764	3.65
23 UMa	9.525453	63.06186	3.65
Zhou	15.769793	15.42183	3.65
The Ara	18.110520	-50.09148	3.65
55Zet1Aqr	22.480531	-0.01997	3.65
Nusakan	15.463818	29.10570	3.66
40Tau Lib	15.644270	-29.77775	3.66
Thuban	14.073165	64.37585	3.67
Bet Ind	20.913498	-58.45416	3.67
3Pi 4Ori	4.853434	5.60510	3.68
Alp Pyx	8.726539	-33.18639	3.68
7Del Sge	19.789795	18.53429	3.68
Safina	23.157443	-21.17241	3.68
Fulu	0.616188	53.89691	3.69
Chi Eri	1.932564	-51.60890	3.69
Saclateni	5.041301	41.07584	3.69
HR 3884	9.754117	-62.50790	3.69
Taiyangshou	11.767515	47.77941	3.69
Nashira	21.668181	-16.66231	3.69
16Tau4Eri	3.325278	-21.75786	3.70
92Xi Her	17.962744	29.24788	3.70
6Gam Psc	23.286094	3.28229	3.70
8Pi 5Ori	4.904193	2.44067	3.71
16Eta Lep	5.940082	-14.16770	3.71
HR 3080	7.870288	-40.57579	3.71
37Eps Ser	15.846935	4.47773	3.71
72 Oph	18.122496	9.56385	3.71
Alshain	19.921887	6.40676	3.71
Ran	3.548848	-9.45826	3.72
Electra	3.747927	24.11334	3.72
33Del Aur	5.992111	54.28466	3.72
62Xi Cyg	21.082184	43.92785	3.72
2Xi Tau	3.452820	9.73268	3.73
109 Vir	14.770812	1.89288	3.73
Grumium	17.892134	56.87264	3.73
Nu Oct	21.691253	-77.39005	3.73
73Lam Aqr	22.876910	-7.57960	3.73
Baten Kaitos	1.857676	-10.33504	3.74
20Gam Her	16.365338	19.15313	3.74
65Tau Cyg	21.246517	38.04532	3.74
HR 3614	9.069248	-47.09774	3.75
Bake-eo	17.798211	2.70728	3.75
Bet Dor	5.560421	-62.48983	3.76
15Del Lep	5.855357	-20.87909	3.76
11Bet Mon	6.480297	-7.03306	3.76
39Omi Sgr	19.078050	-21.74150	3.76
10Iot2Cyg	19.495098	51.72978	3.76
Stellio	22.521515	50.28249	3.76
Miram	2.844945	55.89550	3.77
41Nu Per	3.753232	42.57855	3.77
Secunda Hyadum	4.382247	17.54251	3.77
48Sig Ori	5.645769	-2.60007	3.77
Bet Vol	8.428951	-66.13689	3.77
HR 3445	8.677103	-46.64874	3.77
Eta Ara	16.829760	-59.04138	3.77
Sualocin	20.660635	15.91207	3.77
34Zet Cap	21.444452	-22.41133	3.77
24Iot Peg	22.116847	25.34511	3.77
Gam2Vol	7.145788	-70.49893	3.78
60Iot Gem	7.428779	27.79808	3.78
29Ups UMa	9.849867	59.03874	3.78
HR 4257	10.891559	-58.85317	3.78
30Zet Boo	14.685820	13.72830	3.78
Albali	20.794598	-9.49578	3.78
Misam	3.158258	44.85754	3.79
Praecipua	10.888526	34.21487	3.79
Dalim	3.201249	-28.98762	3.80
HR 2948	7.647186	-26.80384	3.80
13Del Ser	15.580041	10.53887	3.80
1Kap Cyg	19.285040	53.36846	3.80
31 Cyg	20.227196	46.74133	3.80
Theemin	4.592512	-30.56234	3.81
HR 4114	10.464649	-58.73940	3.81
8Gam CrB	15.712381	26.29564	3.81
Udkadua	23.626056	46.45815	3.81
Alrescha	2.034117	2.76376	3.82
38 Lyn	9.314069	36.80260	3.82
Giausar	11.523407	69.33108	3.82
Marfik	16.515229	1.98392	3.82
85Iot Her	17.657747	46.00633	3.82
42Mu Hya	10.434842	-16.83629	3.83
Phi Cen	13.971186	-42.10075	3.83
Paradys	14.797701	-79.04475	3.83
Bet Ret	3.736593	-64.80690	3.84
Atik	3.738648	32.28825	3.84
77The1Tau	4.476248	15.96218	3.84
HR 3571	8.917457	-60.64461	3.84
Shaomin	10.546853	9.30659	3.84
HR 4167	10.621717	-48.22562	3.84
Gam Mus	12.541134	-72.13299	3.84
103Omi Her	18.125708	28.76249	3.84
Polis	18.229392	-21.05883	3.84
63Eps Dra	19.802850	70.26793	3.84
Alp Hor	4.233363	-42.29437	3.85
Bet Pic	5.788079	-51.06651	3.85
Del Col	6.368564	-33.43640	3.85
HR 4023	10.245607	-42.12194	3.85
5Kap Dra	12.558058	69.78824	3.85
Tau Cen	12.628394	-48.54130	3.85
41Gam Ser	15.940882	15.66162	3.85
Tusizuo	18.394967	21.76975	3.85
Alp Sct	18.586785	-8.24407	3.85
37Mu And	0.945885	38.49934	3.86
Sceptrum	4.636340	-14.30402	3.86
Eps Col	5.520209	-35.47052	3.86
Del TrA	16.257297	-63.68568	3.86
Gam Aps	16.557609	-78.89715	3.86
91The Her	17.937550	37.25054	3.86
Sadachbia	22.360938	-1.38733	3.86
Maia	3.763779	24.36775	3.87
HR 3487	8.767124	-46.04153	3.87
Ups1Cen	13.977987	-44.80358	3.87
107Mu Vir	14.717673	-5.65821	3.87
Iklil	15.948077	-29.21407	3.87
55Eta Aql	19.874547	1.00566	3.87
Eps Phe	0.156836	-45.74743	3.88
Mesarthim	1.892170	19.29385	3.88
Rasalas	9.879398	26.00695	3.88
Kap1Lup	15.198918	-48.73782	3.88
Iot Gru	23.172640	-45.24671	3.88
Azha	2.940458	-8.89814	3.89
16Omi1CMa	6.902209	-24.18421	3.89
22The Hya	9.239405	2.31428	3.89
Zaniah	12.331766	-0.66680	3.89
21Eta Cyg	19.938438	35.08342	3.89
Ukdah	9.664267	-1.14281	3.90
Pi Cen	11.350117	-54.49102	3.90
HR 5089	13.517405	-39.40731	3.90
38Nu Tau	4.052606	5.98930	3.91
HR 3314	8.427676	-3.90642	3.91
Sig Cen	12.467331	-50.23063	3.91
Pi Lup	15.085303	-47.05125	3.91
Zubenelhakrabi	15.592105	-14.78954	3.91
22Tau Her	16.329011	46.31337	3.91
58Eps Her	17.004827	30.92640	3.92
44Rho1Sgr	19.361211	-17.84720	3.92
Kitalpha	21.263731	5.24784	3.92
Kap Phe	0.436716	-43.67983	3.93
Del Phe	1.520851	-49.07270	3.93
18Tau Per	2.904295	52.76248	3.93
48Nu Eri	4.605317	-3.35246	3.93
Zet Vol	7.697004	-72.60610	3.93
HR 4337	11.143165	-58.97504	3.93
9Ome1Sco	16.113452	-20.66919	3.93
67 Oph	18.010754	2.93157	3.93
Wurren	1.139742	-55.24576	3.94
26Alp Mon	7.687454	-9.55113	3.94
3 Pup	7.730130	-28.95483	3.94
Asellus Australis	8.744750	18.15431	3.94
58Nu Cyg	20.952893	41.16714	3.94
50 Cas	2.057268	72.42129	3.95
7Nu 2CMa	6.611399	-19.25588	3.95
79Zet UMa	13.398996	54.92047	3.95
48 Per	4.144357	47.71251	3.96
Eta Col	5.985778	-42.81513	3.96
HR 3579	9.010685	41.78291	3.96
HR 3663	9.187985	-62.31698	3.96
Arkab Prior	19.377303	-44.45896	3.96
Rukbat	19.398103	-40.61594	3.96
32 Cyg	20.257867	47.71421	3.96
98 Aqr	23.382842	-20.10058	3.96
Beemim	4.400613	-34.01685	3.97
32Nu Aur	5.858166	39.14848	3.97
Del Vol	7.280508	-67.95715	3.97
Bet Pyx	8.668373	-35.30835	3.97
Rho Cen	12.194202	-52.36846	3.97
5Chi Lup	15.849316	-33.62716	3.97
Eps Pav	20.009845	-72.91050	3.97
Del1Gru	22.487825	-43.49556	3.97
47Lam Peg	22.775521	23.56565	3.97
Menkib	3.982750	35.79103	3.98
73Rho Cyg	21.566350	45.59184	3.98
59Ups Cet	2.000084	-21.07783	3.99
5Gam Mon	6.247592	-6.27478	3.99
HR 4102	10.406592	-74.03161	3.99
Alcor	13.420413	54.98796	3.99
Gam Tuc	23.290498	-58.23573	3.99
Alp Vol	9.040777	-66.39608	4.00
78Iot Leo	11.398736	10.52951	4.00
Jabbah	16.199926	-19.46071	4.00
Phi Per	1.727675	50.68873	4.01
57Mu Eri	4.758375	-3.25466	4.01
Mekbuda	7.068481	20.57030	4.01
28Ome CMa	7.246849	-26.77267	4.01
HR 5471	14.699332	-37.79350	4.01
13The Dra	16.031532	58.56525	4.01
Gam2Nor	16.330687	-50.15551	4.01
Zet Pav	18.717260	-71.42811	4.01
41 Cyg	20.489926	30.36856	4.01
Gam Pyx	8.842204	-27.70984	4.02
Alchiba	12.140225	-24.72887	4.02
13Eps Aql	18.993711	15.06830	4.02
12 Aql	19.028008	-5.73911	4.02
9Gam Tri	2.288573	33.84719	4.03
10Bet Cam	5.056970	60.44224	4.03
48Iot Cnc	8.778284	28.75990	4.03
Mu 1Cru	12.909900	-57.17792	4.03
70 Oph	18.090913	2.50010	4.03
Aldulfin	20.553547	11.30326	4.03
28Ome Psc	23.988525	6.86332	4.03
Beid	4.197761	-6.83758	4.04
3Nu Vir	11.764322	6.52938	4.04
23The Boo	14.419967	51.85074	4.04
62Eta Aqr	22.589272	-0.11750	4.04
Iot Per	3.151005	49.61328	4.05
Alp Cha	8.308703	-76.91972	4.05
HR 3477	8.739987	-42.64928	4.05
77Sig Leo	11.352276	6.02932	4.05
5Ups Boo	13.824623	15.79791	4.05
Psi Cen	14.342623	-37.88529	4.05
Rho Lup	14.631454	-49.42583	4.05
71Tau2Aqr	22.826528	-13.59263	4.05
9Omi2Ori	4.939521	13.51447	4.06
69Ups Gem	7.598708	26.89574	4.06
15Gam Crt	11.414702	-17.68401	4.06
Eps Mus	12.292917	-67.96074	4.06
Zet Cru	12.307298	-64.00307	4.06
HR 5485	14.727624	-35.17365	4.06
Eps1Ara	16.993069	-53.16044	4.06
Syrma	14.266908	-6.00055	4.07
Lam Lup	15.147394	-45.27986	4.07
Bet Cir	15.291917	-58.80121	4.07
27Del Cep	22.486183	58.41520	4.07
Shimu	0.788981	24.26718	4.08
Del Hyi	2.362498	-68.65942	4.08
82Del Cet	2.658044	0.32851	4.08
11Tau3Eri	3.039863	-23.62447	4.08
14The CMa	6.903167	-12.03863	4.08
HR 3825	9.574071	-59.22975	4.08
Alkes	10.996244	-18.29878	4.08
13 Lyr	18.922249	43.94609	4.08
23The Cap	21.099118	-17.23286	4.08
1 Peg	21.368110	19.80451	4.08
40Phi2Ori	5.615108	9.29067	4.09
Gudja	15.812327	18.14156	4.09
Titawin	1.613299	41.40546	4.10
13The Per	2.736634	49.22845	4.10
HR 3055	7.820638	-46.37320	4.10
Zet Tel	18.480505	-49.07059	4.10
Bet CrA	19.167154	-39.34080	4.10
Iot Eri	2.677781	-39.85538	4.11
Muliphein	7.062637	-15.63329	4.11
HR 3426	8.627399	-42.98908	4.11
Zhang	9.857970	-14.84660	4.11
Gam Cha	10.591166	-78.60779	4.11
HR 4522	11.775232	-61.17840	4.11
Eps TrA	15.612000	-66.31704	4.11
Meridiana	19.157869	-37.90447	4.11
Zet Gru	23.014677	-52.75414	4.11
Eps Hyi	2.659799	-68.26695	4.12
51Mu Per	4.248295	48.40933	4.12
61Mu Ori	6.039722	9.64728	4.12
9Omi Vir	12.086817	8.73298	4.12
Iot Sgr	19.921026	-41.86829	4.12
18Ome Cap	20.863692	-26.91913	4.12
Del2Gru	22.495955	-43.74922	4.12
29 Ori	5.399119	-7.80807	4.13
18Nu Gem	6.482719	20.21213	4.13
46The Lib	15.897093	-16.72929	4.13
16Psi Cap	20.768260	-25.27090	4.13
Bet Oct	22.767692	-81.38161	4.13
17Iot Psc	23.665844	5.62629	4.13
5 Tau	3.514549	12.93668	4.14
Merope	3.772104	23.94836	4.14
4Del Hya	8.627602	5.70378	4.14
Eta Cru	12.114687	-64.61373	4.14
4The CrB	15.548829	31.35913	4.14
13Eps CrB	15.959794	26.87788	4.14
10Kap Peg	21.744092	25.64504	4.14
1 Lac	22.266160	37.74874	4.14
22Del Mon	7.197739	-0.49276	4.15
75Rho Her	17.394708	37.14595	4.15
Kaffalmusalsala	23.673469	44.33393	4.15
1 Gem	6.068671	23.26334	4.16
62Rho Gem	7.485195	31.78455	4.16
44 Oph	17.439504	-24.17531	4.16
15Kap Cas	0.549997	62.93178	4.17
HR 1195	3.824237	-36.20025	4.17
Ancha	22.280565	-7.78329	4.17
Kang	14.214929	-10.27370	4.18
Xuange	14.273074	46.08830	4.18
HR 6166	16.606242	-35.25533	4.18
23Eps Cep	22.250544	57.04359	4.18
18Eps PsA	22.677594	-27.04362	4.18
2 Cen	13.824091	-34.45078	4.19
110 Her	18.761035	20.54631	4.19
32 Ori	5.513070	5.94814	4.20
11 Pup	7.947650	-22.88012	4.20
31Bet LMi	10.464727	36.70721	4.20
35Sig Her	16.568384	42.43704	4.20
46Xi Peg	22.778216	12.17289	4.20
23Del PsA	22.932472	-32.53963	4.20
HR 1035	3.484482	59.94033	4.21
65Kap1Tau	4.422822	22.29387	4.21
22Eps UMi	16.766159	82.03726	4.21
2The Cep	20.493015	62.99410	4.21
Gam Pav	21.440705	-65.36620	4.21
16 Per	2.843063	38.31864	4.22
27Tau6Eri	3.780804	-23.24972	4.22
HR 3090	7.888378	-48.10293	4.22
The Lup	16.109874	-36.80229	4.22
7Chi Oph	16.450399	-18.45625	4.22
43Phi Dra	18.345955	71.33781	4.22
Bet Sct	18.786242	-4.74787	4.22
Lam Pav	18.870288	-62.18759	4.22
12Del2Lyr	18.908412	36.89861	4.22
52 Cyg	20.761043	30.71972	4.22
67Sig Cyg	21.290265	39.39468	4.22
90Phi Aqr	23.238711	-6.04900	4.22
Zet Tuc	0.334142	-64.87479	4.23
75Sig Gem	7.721867	28.88351	4.23
43Bet Com	13.197904	27.87818	4.23
1 Cen	13.761471	-33.04372	4.23
93Tau Vir	14.027443	1.54453	4.23
11Phi Her	16.146162	44.93491	4.23
Bet Aps	16.718126	-77.51744	4.23
Gam CrA	19.106971	-37.06344	4.23
Garnet Star	21.725127	58.78005	4.23
